time,Binance,Bitfinex,Coinbase,Bitflyer,Bittrex,Kraken,BitMEX
2019-02-20,655869898.3614289,155488771.57428572,76522145.68928562,14538807.282142874,23014311.328571465,76195471.48071423,684963474.0978584
2019-02-21,673911387.8428574,164709237.19785714,78611174.78142849,15058812.932142872,23638506.87571432,78682316.66071424,721015247.4392871
2019-02-22,653397316.4435717,154279888.06,72242871.97428563,14188427.288571443,22507522.487857174,73057775.24428566,706138893.9964298
2019-02-23,670788283.3121431,165908656.08214286,76063904.33785707,14726352.177857159,23022053.63071432,78220848.07714282,744246131.2935727
2019-02-24,721141997.3171431,191684613.43928573,83658238.43714277,16557197.844285728,25312794.680000033,89724483.58928569,796980951.6164299
2019-02-25,759086293.0650003,199347200.11142856,86717925.41857135,17338649.106428586,27097013.234285746,94116823.68499996,826580788.0678585
2019-02-26,769578531.2621431,197935862.935,86755001.83857135,17483213.464285728,28342481.160000034,94375034.08428569,834060265.1050013
2019-02-27,784397113.6357145,201060304.03785715,88441551.77785708,17802623.415714297,29077052.765000038,97221191.75499998,851624697.1842871
2019-02-28,805655395.5200002,205362552.83357143,90750668.4064285,18810000.32785716,28077401.70142861,99296356.9185714,872733266.8114299
2019-03-01,820405475.547143,204742493.2992857,92036950.48999992,18612380.0257143,27397998.855000038,99146099.44999997,870738819.8535727
2019-03-02,830851170.3728572,206019321.99714285,92727117.9907142,18622259.087857157,27726810.36214289,99502487.54785712,869984281.589287
2019-03-03,819752419.6378572,196537098.45857143,90463670.5664285,18200385.055000015,27090279.751428604,96432342.63214281,851828636.3578585
2019-03-04,788105243.3842858,178053858.45214286,83212449.44857135,16806853.15714287,25774048.406428605,88551426.26999997,796941754.7550013
2019-03-05,780593977.4950001,174334863.11785716,82130432.21071422,16279592.588571442,26589649.768571462,87269910.18999997,778770989.1357156
2019-03-06,775576548.507143,167626076.2992857,80713070.29785708,16100690.117857156,26821814.340714317,85627758.90714283,751686562.6164299
2019-03-07,788140576.8264287,163593628.32999998,81229201.90071423,15799001.68714287,27456547.215000033,84801807.76999997,746095744.3071442
2019-03-08,820594401.3171431,161374196.6728571,82139598.43499994,15693618.525714299,30554918.805000037,84328679.3535714,743507377.4957155
2019-03-09,832872117.132143,149954217.43142852,78981170.69714281,15272672.285714298,31898680.56428575,78981865.90499997,729257646.9957155
2019-03-10,793546094.8757144,120351828.24214281,69912563.00999996,13435966.541428585,30488447.480000038,65905159.09999998,671419116.1535727
2019-03-11,795001047.2907144,115236681.22214282,67277651.93999995,13160237.728571443,31727403.360714324,62351272.546428554,662171705.3328583
2019-03-12,797844759.5464287,117262354.11071423,68043196.6978571,12791339.853571443,34143096.63714289,62161519.04357141,664401594.562144
2019-03-13,804942864.7550001,111593306.88499995,65786282.94642853,12160541.042857157,35518775.360714324,59165906.77714284,649127244.632144
2019-03-14,814402139.8421429,109190281.77357136,64496705.44714282,11088724.686428586,39201162.382142894,57872377.70285712,632197482.6671441
2019-03-15,814654445.3164285,111764449.74999993,64339848.796428524,10908306.426428586,41053799.25642861,58146731.9435714,640616787.4071442
2019-03-16,830960716.4057143,117072864.53499994,67722972.56214282,11543695.7807143,42074475.04642861,61109269.757142834,674304488.8850012
